"","drug_name","category1","category2"
"1019","mpep","GPCR/G Protein, Neuronal Signaling","mGluR"
"1020","basimglurant","GPCR/G Protein, Neuronal Signaling","mGluR"
"1021","jnj-40411813","GPCR/G Protein, Neuronal Signaling","mGluR"
"1022","cdppb","GPCR/G Protein, Neuronal Signaling","mGluR"
"1023","fenobam","GPCR/G Protein, Neuronal Signaling","mGluR"
"1024","vu0361737","GPCR/G Protein, Neuronal Signaling","mGluR"
"1025","adx-47273","GPCR/G Protein, Neuronal Signaling","mGluR"
"1026","vu0364770","GPCR/G Protein, Neuronal Signaling","mGluR"
"1027","ly456236","GPCR/G Protein, Neuronal Signaling, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling","mGluR, EGFR"
"1028","vu0422288","GPCR/G Protein, Neuronal Signaling","mGluR"
"1029","tcn238","GPCR/G Protein, Neuronal Signaling","mGluR"
"1030","ly2979165","GPCR/G Protein, Neuronal Signaling","mGluR"
"1031","phccc","GPCR/G Protein, Neuronal Signaling","mGluR"
"1032","vu0360172","GPCR/G Protein, Neuronal Signaling","mGluR"
"1033","cpccoet","GPCR/G Protein, Neuronal Signaling","mGluR"
"1034","acdpp","GPCR/G Protein, Neuronal Signaling","mGluR"
"1035","sib-1757","GPCR/G Protein, Neuronal Signaling","mGluR"
"1036","mtpg","GPCR/G Protein, Neuronal Signaling","mGluR"
"1037","ly2140023","GPCR/G Protein, Neuronal Signaling","mGluR"
"1038","cis-acpd","Membrane Transporter/Ion Channel, Neuronal Signaling, GPCR/G Protein","iGluR, mGluR"
"1039","dmeob","GPCR/G Protein, Neuronal Signaling","mGluR"
"1040","bmy-45778","GPCR/G Protein","Adenylate Cyclase, Prostaglandin Receptor"
"1041","skf-83566","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor, 5-HT Receptor, Adenylate Cyclase"
"1042","riociguat","GPCR/G Protein","Guanylate Cyclase"
"1043","linaclotide","GPCR/G Protein","Guanylate Cyclase"
"1044","cinaciguat","GPCR/G Protein","Guanylate Cyclase"
"1045","bay-41-2272","GPCR/G Protein","Guanylate Cyclase"
"1046","ketoconazole","Anti-infection, Metabolic Enzyme/Protease, GPCR/G Protein","Fungal, Cytochrome P450, Ras, Bacterial"
"1047","ehop-016","GPCR/G Protein","Ras"
"1048","ce3f4","GPCR/G Protein","Ras"
"1049","bqu57","GPCR/G Protein","Ras"
"1050","deltarasin","GPCR/G Protein, Metabolic Enzyme/Protease","Ras, Phosphodiesterase (PDE)"
"1051","rbc8","GPCR/G Protein","Ras"
"1052","y16","GPCR/G Protein","Ras"
"1053","sch-51344","GPCR/G Protein","Ras"
"1054","ccg-50014","GPCR/G Protein","RGS Protein"
"1055","ccg-63802","GPCR/G Protein","RGS Protein"
"1056","ccg-63808","GPCR/G Protein","RGS Protein"
"1057","telcagepant","GPCR/G Protein, Neuronal Signaling","CGRP Receptor"
"1058","mk-3207","GPCR/G Protein, Neuronal Signaling","CGRP Receptor"
"1059","nbi-27914","GPCR/G Protein","CRFR"
"1060","antalarmin","GPCR/G Protein","CRFR"
"1061","liraglutide","GPCR/G Protein","GCGR, GLP Receptor"
"1062","mk-0893","GPCR/G Protein","GCGR"
"1063","betp","GPCR/G Protein","GCGR"
"1064","l-168049","GPCR/G Protein","GCGR"
"1065","pnu-282987","Membrane Transporter/Ion Channel, Neuronal Signaling, GPCR/G Protein","nAChR, 5-HT Receptor"
"1066","risperidone","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel","5-HT Receptor, Dopamine Receptor, P-glycoprotein"
"1067","clozapine","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor, mAChR, Adrenergic Receptor, 5-HT Receptor"
"1068","brexpiprazole","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor, Adrenergic Receptor"
"1069","aripiprazole","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1070","ondansetron","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1071","volinanserin","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1072","cisapride","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel","5-HT Receptor, Potassium Channel"
"1073","vortioxetine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Serotonin Transporter"
"1074","pimavanserin","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1075","quetiapine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1076","lurasidone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1077","pindolol","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Adrenergic Receptor"
"1078","ritanserin","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","5-HT Receptor, Histamine Receptor, Dopamine Receptor, Adrenergic Receptor"
"1079","gr-113808","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1080","paliperidone","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor, 5-HT Receptor, Adrenergic Receptor"
"1081","alprenolol","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1082","metergoline","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel","5-HT Receptor, Dopamine Receptor, Sodium Channel"
"1083","tandospirone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1084","agomelatine","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease","Melatonin Receptor, 5-HT Receptor, Endogenous Metabolite"
"1085","vilazodone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Serotonin Transporter"
"1086","cariprazine","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor, 5-HT Receptor"
"1087","spiperone","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor, 5-HT Receptor"
"1088","mirtazapine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","5-HT Receptor, Histamine Receptor, Adrenergic Receptor"
"1089","bw-723c86","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1090","way-100635","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1091","ziprasidone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1092","prucalopride","GPCR/G Protein, Neuronal Signaling, Apoptosis, Autophagy","5-HT Receptor, Apoptosis, Autophagy"
"1093","loxapine","GPCR/G Protein, Neuronal Signaling, Anti-infection","5-HT Receptor, Dopamine Receptor, Bacterial"
"1094","levomepromazine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1095","rs-127445","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1096","piboserod","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1097","perospirone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1098","oxatomide","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Membrane Transporter/Ion Channel","Histamine Receptor, P2X Receptor, 5-HT Receptor"
"1099","sr-57227a","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1100","ru-24969","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1101","pizotifen","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1102","rotigotine","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor, Adrenergic Receptor, 5-HT Receptor"
"1103","setiptiline","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Adrenergic Receptor"
"1104","rotundine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1105","asenapine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","5-HT Receptor, Adrenergic Receptor, Dopamine Receptor, Histamine Receptor"
"1106","flibanserin","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1107","sb-243213","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1108","nefazodone","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease","5-HT Receptor, Cytochrome P450"
"1109","ly310762","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1110","blonanserin","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor, Adrenergic Receptor, Sigma Receptor"
"1111","sb-742457","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1112","iloperidone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1113","quipazine","GPCR/G Protein, Neuronal Signaling, Anti-infection","5-HT Receptor, SARS-CoV"
"1114","fananserin","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1115","arotinolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor, 5-HT Receptor"
"1116","sumatriptan","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1117","dolasetron","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1118","tropisetron","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel","5-HT Receptor, nAChR"
"1119","altanserin","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1120","adoprazine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1121","prx-08066","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1122","cis-urocanic-acid","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1123","tianeptine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1124","pipamperone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1125","bemesetron","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1126","zotepine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","5-HT Receptor, Histamine Receptor, Adrenergic Receptor, Dopamine Receptor"
"1127","brl-54443","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1128","rs-39604","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1129","donitriptan","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1130","f-11440","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1131","urapidil","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Adrenergic Receptor"
"1132","flopropione","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease","5-HT Receptor, COMT"
"1133","vuf10166","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1134","gsk163090","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Dopamine Receptor"
"1135","bimu-8","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1136","viloxazine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Adrenergic Receptor"
"1137","cyamemazine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1138","pirenperone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1139","bmy-14802","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor, 5-HT Receptor, Sigma Receptor"
"1140","almotriptan","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1141","ipsapirone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1142","granisetron","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1143","alosetron","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1144","mosapride","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease, Membrane Transporter/Ion Channel","5-HT Receptor, Cytochrome P450, Potassium Channel"
"1145","eltoprazine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1146","palonosetron","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1147","naratriptan","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1148","sb-269970","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1149","lumateperone","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor, 5-HT Receptor"
"1150","sb-271046","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1151","rs-102221","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1152","ly320135","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor, 5-HT Receptor, mAChR"
"1153","zimelidine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Serotonin Transporter"
"1154","buspirone","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease, Immunology/Inflammation, NF-κB","5-HT Receptor, Reactive Oxygen Species"
"1155","eletriptan","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1156","pnu-142633","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1157","trazodone","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1158","nas-181","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1159","sb-221284","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1160","bmy-7378","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor, 5-HT Receptor"
"1161","trimipramine","GPCR/G Protein, Neuronal Signaling, Anti-infection","5-HT Receptor, Bacterial"
"1162","org-12962","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1163","spiroxatrine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor, 5-HT Receptor"
"1164","3-aqc","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1165","frovatriptan","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1166","sarpogrelate","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1167","nan-190","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1168","lerisetron","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1169","rs-127445","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1170","nemonapride","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor, 5-HT Receptor"
"1171","arc-239","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor, 5-HT Receptor"
"1172","sb-200646","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1173","rs-23597-190","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1174","ly393558","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1175","pardoprunox","GPCR/G Protein, Neuronal Signaling","5-HT Receptor, Adrenergic Receptor, Dopamine Receptor"
"1176","idalopirdine","GPCR/G Protein, Neuronal Signaling","5-HT Receptor"
"1177","neca","GPCR/G Protein","Adenosine Receptor"
"1178","sch-58261","GPCR/G Protein","Adenosine Receptor"
"1179","istradefylline","GPCR/G Protein","Adenosine Receptor"
"1180","inosine","Induced Disease Models Products, GPCR/G Protein, Metabolic Enzyme/Protease","Endocrine and Metabolic Disease Models, Adenosine Receptor, Endogenous Metabolite"
"1181","bay-60-6583","GPCR/G Protein","Adenosine Receptor"
"1182","dpcpx","GPCR/G Protein","Adenosine Receptor"
"1183","regadenoson","GPCR/G Protein","Adenosine Receptor"
"1184","psb-603","GPCR/G Protein","Adenosine Receptor"
"1185","preladenant","GPCR/G Protein","Adenosine Receptor"
"1186","theobromine","GPCR/G Protein, Metabolic Enzyme/Protease","Adenosine Receptor, Endogenous Metabolite"
"1187","aminophylline","Metabolic Enzyme/Protease, GPCR/G Protein","Phosphodiesterase (PDE), Adenosine Receptor"
"1188","n6-cyclopentyladenosine","GPCR/G Protein","Adenosine Receptor"
"1189","cgs-15943","GPCR/G Protein, PI3K/Akt/mTOR","Adenosine Receptor, PI3K"
"1190","doxofylline","GPCR/G Protein, Metabolic Enzyme/Protease, NF-κB, Immunology/Inflammation","Adenosine Receptor, Phosphodiesterase (PDE), Reactive Oxygen Species"
"1191","gs-6201","GPCR/G Protein","Adenosine Receptor"
"1192","vipadenant","GPCR/G Protein","Adenosine Receptor"
"1193","tozadenant","GPCR/G Protein","Adenosine Receptor"
"1194","capadenoson","GPCR/G Protein","Adenosine Receptor"
"1195","tecadenoson","GPCR/G Protein","Adenosine Receptor"
"1196","enprofylline","GPCR/G Protein, Metabolic Enzyme/Protease","Adenosine Receptor, Phosphodiesterase (PDE)"
"1197","cgs-21680","GPCR/G Protein","Adenosine Receptor"
"1198","tc-g-1004","GPCR/G Protein","Adenosine Receptor"
"1199","hemado","GPCR/G Protein","Adenosine Receptor"
"1200","sch-202676","Anti-infection, GPCR/G Protein","Influenza Virus, G protein-coupled Bile Acid Receptor 1, Adenosine Receptor"
"1201","psb-1115","GPCR/G Protein","Adenosine Receptor"
"1202","phenylephrine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1203","propranolol","GPCR/G Protein, Neuronal Signaling, Anti-infection","Adrenergic Receptor, Bacterial"
"1204","pimozide","GPCR/G Protein, Neuronal Signaling, Stem Cell/Wnt, JAK/STAT Signaling, Anti-infection","Dopamine Receptor, Adrenergic Receptor, STAT, Parasite"
"1205","yohimbine","Induced Disease Models Products, GPCR/G Protein, Neuronal Signaling","Cardiovascular System Disease Models, Adrenergic Receptor"
"1206","nadolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1207","mirabegron","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1208","dexmedetomidine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1209","salmeterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1210","clonidine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1211","tamsulosin","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease","Adrenergic Receptor, Endogenous Metabolite"
"1212","labetalol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1213","indacaterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1214","silodosin","GPCR/G Protein, Neuronal Signaling, Anti-infection","Adrenergic Receptor, Bacterial"
"1215","betaxolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1216","vilanterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1217","droxidopa","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1218","brimonidine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1219","rs-17053","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1220","alfuzosin","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1221","practolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1222","levonordefrin","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1223","naftopidil","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1224","fenoterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1225","synephrine","Neuronal Signaling, GPCR/G Protein, Metabolic Enzyme/Protease","Adrenergic Receptor, Endogenous Metabolite"
"1226","medetomidine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1227","paroxetine","Neuronal Signaling, GPCR/G Protein","Serotonin Transporter, Adrenergic Receptor"
"1228","harmane","Neuronal Signaling, GPCR/G Protein","Imidazoline Receptor, Monoamine Oxidase, Adrenergic Receptor"
"1229","prazosin","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1230","nicergoline","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1231","carazolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1232","terbutaline","GPCR/G Protein, Neuronal Signaling, Anti-infection","Adrenergic Receptor, Antibiotic"
"1233","amitraz","GPCR/G Protein, Neuronal Signaling, Anti-infection","Adrenergic Receptor, Monoamine Oxidase, Parasite"
"1234","indoramin","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1235","bupranolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1236","higenamine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1237","bunazosin","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1238","xamoterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1239","tulobuterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1240","bambuterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1241","terazosin","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1242","tizanidine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1243","guanfacine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1244","timolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1245","dobutamine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1246","rauwolscine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1247","clorprenaline","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1248","celiprolol","Immunology/Inflammation, Neuronal Signaling, GPCR/G Protein","NO Synthase, Adrenergic Receptor"
"1249","oxprenolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1250","nifenalol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1251","bisoprolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1252","ici-89406","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1253","mabuterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1254","acebutolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1255","a-61603","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1256","metazosin","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1257","propafenone","Membrane Transporter/Ion Channel, Neuronal Signaling, GPCR/G Protein","Sodium Channel, Adrenergic Receptor, Potassium Channel"
"1258","dapiprazole","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1259","apraclonidine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1260","desipramine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1261","metaproterenol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1262","levalbuterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1263","levobunolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1264","phentolamine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1265","xylometazoline","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1266","imiloxan","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1267","isoprenaline","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease","Adrenergic Receptor, Endogenous Metabolite"
"1268","broxaterol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1269","phenoxybenzamine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1270","levobetaxolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1271","detomidine","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1272","doxazosin","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1273","tolazoline","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1274","methyldopa","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease","Adrenergic Receptor, Endogenous Metabolite"
"1275","nebivolol","GPCR/G Protein, Neuronal Signaling","Adrenergic Receptor"
"1276","losartan","GPCR/G Protein","Angiotensin Receptor"
"1277","tranilast","GPCR/G Protein","Angiotensin Receptor, Prostaglandin Receptor"
"1278","valsartan","GPCR/G Protein","Angiotensin Receptor"
"1279","ave-0991","GPCR/G Protein","Angiotensin Receptor"
"1280","olmesartan","GPCR/G Protein","Angiotensin Receptor"
"1281","azilsartan-medoxomil","GPCR/G Protein","Angiotensin Receptor"
"1282","olmesartan-medoxomil","GPCR/G Protein","Angiotensin Receptor"
"1283","eprosartan","GPCR/G Protein","Angiotensin Receptor"
"1284","pd-123319","GPCR/G Protein","Angiotensin Receptor"
"1285","emd-66684","GPCR/G Protein","Angiotensin Receptor"
"1286","mk-5046","GPCR/G Protein","Bombesin Receptor"
"1287","icatibant-acetate","GPCR/G Protein","Bradykinin Receptor"
"1288","eln-441958","GPCR/G Protein","Bradykinin Receptor"
"1289","taranabant","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor"
"1290","rimonabant","GPCR/G Protein, Neuronal Signaling, Anti-infection","Cannabinoid Receptor, Bacterial"
"1291","org-27569","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor"
"1292","gw-405833","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor"
"1293","bml-190","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor"
"1294","jte-907","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor"
"1295","psncbam-1","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor"
"1296","gp1a","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor"
"1297","nida-41020","GPCR/G Protein, Neuronal Signaling","Cannabinoid Receptor"
"1298","pirfenidone","Stem Cell/Wnt, TGF-beta/Smad, Immunology/Inflammation, GPCR/G Protein","TGF-beta/Smad, CCR"
"1299","maraviroc","GPCR/G Protein, Immunology/Inflammation, Anti-infection","CCR, HIV"
"1300","rs-504393","GPCR/G Protein, Immunology/Inflammation","CCR"
"1301","bindarit","GPCR/G Protein, Immunology/Inflammation","CCR"
"1302","vercirnon","GPCR/G Protein, Immunology/Inflammation","CCR"
"1303","incb-3284","GPCR/G Protein, Immunology/Inflammation","CCR"
"1304","c-021","GPCR/G Protein, Immunology/Inflammation","CCR"
"1305","bms-ccr2-22","GPCR/G Protein, Immunology/Inflammation","CCR"
"1306","tak-220","GPCR/G Protein, Immunology/Inflammation, Anti-infection","CCR, HIV"
"1307","mk-0812","GPCR/G Protein, Immunology/Inflammation","CCR"
"1308","jnj-27141491","GPCR/G Protein, Immunology/Inflammation","CCR"
"1309","ceruletide","Induced Disease Models Products, GPCR/G Protein, Neuronal Signaling","Immunology and Inflammatory Disease Models, Digestive System Disease Models, Cholecystokinin Receptor"
"1310","pentagastrin","GPCR/G Protein, Neuronal Signaling","Cholecystokinin Receptor"
"1311","benzotript","GPCR/G Protein, Neuronal Signaling","Cholecystokinin Receptor"
"1312","l-365260","GPCR/G Protein, Neuronal Signaling","Cholecystokinin Receptor"
"1313","proglumide","GPCR/G Protein, Neuronal Signaling","Cholecystokinin Receptor"
"1314","nastorazepide","GPCR/G Protein, Neuronal Signaling","Cholecystokinin Receptor"
"1315","dexloxiglumide","GPCR/G Protein, Neuronal Signaling","Cholecystokinin Receptor"
"1316","ly288513","GPCR/G Protein, Neuronal Signaling","Cholecystokinin Receptor"
"1317","plerixafor","GPCR/G Protein, Immunology/Inflammation, Anti-infection","CXCR, HIV"
"1318","reparixin","GPCR/G Protein, Immunology/Inflammation","CXCR"
"1319","navarixin","GPCR/G Protein, Immunology/Inflammation","CXCR"
"1320","danirixin","GPCR/G Protein, Immunology/Inflammation","CXCR"
"1321","wz811","GPCR/G Protein, Immunology/Inflammation","CXCR"
"1322","msx-122","GPCR/G Protein, Immunology/Inflammation","CXCR"
"1323","it1t","GPCR/G Protein, Immunology/Inflammation, Anti-infection","CXCR, HIV"
"1324","amd-3465","GPCR/G Protein, Immunology/Inflammation, Anti-infection","CXCR, HIV"
"1325","haloperidol","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1326","pramipexole","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1327","raclopride","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1328","domperidone","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1329","benztropine-mesylate","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Dopamine Receptor, mAChR, Histamine Receptor"
"1330","amisulpride","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
